purpose,mode,asim,wfrc,error,to_calibrate
all,all,7418994,8737728.603277568,-0.15092418901439708,FALSE
all,auto,6338056,7905927.3554710355,-0.19831593246123647,FALSE
all,nonmotor,897516,732250.0986994532,0.2256959768173128,FALSE
all,transit,183422,99551.14919994435,0.842490031246194,FALSE
hbo,all,3695644,4641723.893493106,-0.20382080347763598,FALSE
hbo,auto,3078006,4094886.878166776,-0.24832941871693892,FALSE
hbo,nonmotor,515997,509490.98370042857,0.012769639714364178,FALSE
hbo,transit,101641,37346.03169982358,1.7216010744316952,TRUE
hbw,all,1759647,1711578.045027034,0.02808458259477553,FALSE
hbw,auto,1506152,1586412.722213044,-0.05059258608382844,FALSE
hbw,nonmotor,206335,76413.48859997992,1.7002431609967648,TRUE
hbw,transit,47160,48751.83419965995,-0.032651780713330636,FALSE
nhb,all,1963703,2384426.6649046107,-0.1764464687033861,FALSE
nhb,auto,1753898,2224627.755210217,-0.21159933571256517,FALSE
nhb,nonmotor,175184,146345.62640009134,0.19705661391661966,FALSE
nhb,transit,34621,13453.28329993161,1.5734238422063105,TRUE
