purpose,mode,asim,wfrc,error,to_calibrate
all,all,7431989,8737728.603277568,-0.14943696040041554,FALSE
all,auto,6439021,7905927.3554710355,-0.185545134620534,FALSE
all,nonmotor,822444,732250.0986994532,0.1231736280551412,FALSE
all,transit,170524,99551.14919994435,0.7129284932463171,FALSE
hbo,all,3695880,4641723.893493106,-0.20376996029837435,FALSE
hbo,auto,3086126,4094886.878166776,-0.24634645795597276,FALSE
hbo,nonmotor,523517,509490.98370042857,0.02752946911386056,FALSE
hbo,transit,86237,37346.03169982358,1.3091342259104701,TRUE
hbw,all,1759572,1711578.045027034,0.02804076338348227,FALSE
hbw,auto,1568923,1586412.722213044,-0.011024698660160759,FALSE
hbw,nonmotor,138447,76413.48859997992,0.8118136278892047,TRUE
hbw,transit,52202,48751.83419965995,0.07076996910947231,FALSE
nhb,all,1976537,2384426.6649046107,-0.17106404273537534,FALSE
nhb,auto,1783972,2224627.755210217,-0.19808066953141878,FALSE
nhb,nonmotor,160480,146345.62640009134,0.09658213878744126,FALSE
nhb,transit,32085,13453.28329993161,1.384919672371956,TRUE
