purpose,mode,asim,wfrc
all,all,7431989,8737728.603277568
all,auto,6439021,7905927.3554710355
all,nonmotor,822444,732250.0986994532
all,transit,170524,99551.14919994435
hbo,all,3695880,4641723.893493106
hbo,auto,3086126,4094886.878166776
hbo,nonmotor,523517,509490.98370042857
hbo,transit,86237,37346.03169982358
hbw,all,1759572,1711578.045027034
hbw,auto,1568923,1586412.722213044
hbw,nonmotor,138447,76413.48859997992
hbw,transit,52202,48751.83419965995
nhb,all,1976537,2384426.6649046107
nhb,auto,1783972,2224627.755210217
nhb,nonmotor,160480,146345.62640009134
nhb,transit,32085,13453.28329993161
