purpose,mode,asim,wfrc,error
all,all,7436953.5,8737728.603277568,-0.14886879214692483
all,auto,6477200,7905927.3554710355,-0.18071597312139887
all,nonmotor,795453.5,732250.0986994532,0.08631395395207475
all,transit,164300,99551.14919994435,0.6504078689238459
hbo,all,3695968,4641723.893493106,-0.20375100182475137
hbo,auto,3089433,4094886.878166776,-0.24553886543916048
hbo,nonmotor,527507,509490.98370042857,0.03536081476598718
hbo,transit,79028,37346.03169982358,1.1161016687182141
hbw,all,1759536.5,1711578.045027034,0.02802002229013678
hbw,auto,1593186,1586412.722213044,0.004269555893063659
hbw,nonmotor,111938.5,76413.48859997992,0.4649049801402396
hbw,transit,54412,48751.83419965995,0.11610159685806298
nhb,all,1981449,2384426.6649046107,-0.1690040087354634
nhb,auto,1794581,2224627.755210217,-0.1933117818039538
nhb,nonmotor,156008,146345.62640009134,0.06602434140049329
nhb,transit,30860,13453.28329993161,1.2938638332366699
