purpose,mode,asim,wfrc,error,to_calibrate
all,all,7441918,8737728.603277568,-0.14830062389343412,FALSE
all,auto,6515379,7905927.3554710355,-0.17588681162226372,FALSE
all,nonmotor,768463,732250.0986994532,0.04945427984900852,FALSE
all,transit,158076,99551.14919994435,0.5878872446013748,FALSE
hbo,all,3696056,4641723.893493106,-0.20373204335112838,FALSE
hbo,auto,3092740,4094886.878166776,-0.2447312729223483,FALSE
hbo,nonmotor,531497,509490.98370042857,0.04319216041811358,FALSE
hbo,transit,71819,37346.03169982358,0.9230691115259582,TRUE
hbw,all,1759501,1711578.045027034,0.027999281196791292,FALSE
hbw,auto,1617449,1586412.722213044,0.019563810446288077,FALSE
hbw,nonmotor,85430,76413.48859997992,0.11799633239127427,FALSE
hbw,transit,56622,48751.83419965995,0.16143322460665388,FALSE
nhb,all,1986361,2384426.6649046107,-0.16694397473555156,FALSE
nhb,auto,1805190,2224627.755210217,-0.18854289407648883,FALSE
nhb,nonmotor,151536,146345.62640009134,0.0354665440135451,FALSE
nhb,transit,29635,13453.28329993161,1.2028079941013843,TRUE
