purpose,mode,asim,wfrc
all,all,7418994,8737728.603277568
all,auto,6338056,7905927.3554710355
all,nonmotor,897516,732250.0986994532
all,transit,183422,99551.14919994435
hbo,all,3695644,4641723.893493106
hbo,auto,3078006,4094886.878166776
hbo,nonmotor,515997,509490.98370042857
hbo,transit,101641,37346.03169982358
hbw,all,1759647,1711578.045027034
hbw,auto,1506152,1586412.722213044
hbw,nonmotor,206335,76413.48859997992
hbw,transit,47160,48751.83419965995
nhb,all,1963703,2384426.6649046107
nhb,auto,1753898,2224627.755210217
nhb,nonmotor,175184,146345.62640009134
nhb,transit,34621,13453.28329993161
