coefficient_name,tour_mode,0,1,2,3,4,5
walk_ASC_no_auto_eatout,walk,5.1251173,4.540804323,4.107773964,3.775894087,3.532929116,3.347810962
walk_ASC_no_auto_escort,walk,2.8012068,2.216893823,1.783863464,1.451983587,1.209018616,1.023900462
walk_ASC_no_auto_othdiscr,walk,3.2665946,2.682281623,2.249251264,1.917371387,1.674406416,1.489288262
walk_ASC_no_auto_othmaint,walk,1.287299,0.702986023,0.269955664,-0.061924213,-0.304889184,-0.490007338
walk_ASC_no_auto_school,walk,18.414557,17.83024402,17.39721366,17.06533379,16.82236882,16.63725066
walk_ASC_no_auto_shopping,walk,2.3768773,1.792564323,1.359533964,1.027654087,0.784689116,0.599570962
walk_ASC_no_auto_social,walk,1.8680915,1.283778523,0.850748164,0.518868287,0.275903316,0.090785162
walk_ASC_no_auto_univ,walk,6.408967,5.824654023,5.391623664,5.059743787,4.816778816,4.631660662
walk_ASC_no_auto_work,walk,5.7672157,5.182902723,4.749872364,4.417992487,4.175027516,3.989909362
walk_ASC_no_auto_atwork,walk,6.669213,6.084900023,5.651869664,5.319989787,5.077024816,4.891906662
walk_ASC_auto_deficient_eatout,walk,3.274605,2.690292023,2.257261664,1.925381787,1.682416816,1.497298662
walk_ASC_auto_deficient_escort,walk,-0.90204656,-1.486359537,-1.919389896,-2.251269773,-2.494234744,-2.679352898
walk_ASC_auto_deficient_othdiscr,walk,2.2494075,1.665094523,1.232064164,0.900184287,0.657219316,0.472101162
walk_ASC_auto_deficient_othmaint,walk,1.3690404,0.784727423,0.351697064,0.019817187,-0.223147784,-0.408265938
walk_ASC_auto_deficient_school,walk,3.2573624,2.673049423,2.240019064,1.908139187,1.665174216,1.480056062
walk_ASC_auto_deficient_shopping,walk,2.2701733,1.685860323,1.252829964,0.920950087,0.677985116,0.492866962
walk_ASC_auto_deficient_social,walk,2.870184,2.285871023,1.852840664,1.520960787,1.277995816,1.092877662
walk_ASC_auto_deficient_univ,walk,4.50591,3.921597023,3.488566664,3.156686787,2.913721816,2.728603662
walk_ASC_auto_deficient_work,walk,2.4010417,1.816728723,1.383698364,1.051818487,0.808853516,0.623735362
walk_ASC_auto_deficient_atwork,walk,0.92546093,0.341147953,-0.091882406,-0.423762283,-0.666727254,-0.851845408
walk_ASC_auto_sufficient_eatout,walk,1.5516903,0.967377323,0.534346964,0.202467087,-0.040497884,-0.225616038
walk_ASC_auto_sufficient_escort,walk,-0.8116066,-1.395919577,-1.828949936,-2.160829813,-2.403794784,-2.588912938
walk_ASC_auto_sufficient_othdiscr,walk,1.2633476,0.679034623,0.246004264,-0.085875613,-0.328840584,-0.513958738
walk_ASC_auto_sufficient_othmaint,walk,0.7999634,0.215650423,-0.217379936,-0.549259813,-0.792224784,-0.977342938
walk_ASC_auto_sufficient_school,walk,0.6476856,0.063372623,-0.369657736,-0.701537613,-0.944502584,-1.129620738
walk_ASC_auto_sufficient_shopping,walk,0.7312663,0.146953323,-0.286077036,-0.617956913,-0.860921884,-1.046040038
walk_ASC_auto_sufficient_social,walk,1.7072186,1.122905623,0.689875264,0.357995387,0.115030416,-0.070087738
walk_ASC_auto_sufficient_univ,walk,1.0607665,0.476453523,0.043423164,-0.288456713,-0.531421684,-0.716539838
walk_ASC_auto_sufficient_work,walk,0.053265337,-0.53104764,-0.964077999,-1.295957876,-1.538922847,-1.724041001
walk_ASC_auto_sufficient_atwork,walk,0.677216,0.092903023,-0.340127336,-0.672007213,-0.914972184,-1.100090338
bike_ASC_no_auto_eatout,bike,0.86807096,0.746437423,-0.245712071,-0.770719016,-1.112001872,-1.359493726
bike_ASC_no_auto_escort,bike,-0.716212,-0.837845537,-1.829995031,-2.355001976,-2.696284832,-2.943776686
bike_ASC_no_auto_othdiscr,bike,-0.3764232,-0.498056737,-1.490206231,-2.015213176,-2.356496032,-2.603987886
bike_ASC_no_auto_othmaint,bike,1.5394334,1.417799863,0.425650369,-0.099356576,-0.440639432,-0.688131286
bike_ASC_no_auto_school,bike,12.098735,11.97710146,10.98495197,10.45994502,10.11866217,9.871170314
bike_ASC_no_auto_shopping,bike,0.8341555,0.712521963,-0.279627531,-0.804634476,-1.145917332,-1.393409186
bike_ASC_no_auto_social,bike,0.02058321,-0.101050327,-1.093199821,-1.618206766,-1.959489622,-2.206981476
bike_ASC_no_auto_univ,bike,4.2945156,4.172882063,3.180732569,2.655725624,2.314442768,2.066950914
bike_ASC_no_auto_work,bike,3.1940088,3.072375263,2.080225769,1.555218824,1.213935968,0.966444114
bike_ASC_no_auto_atwork,bike,-0.90725845,-1.028891987,-2.021041481,-2.546048426,-2.887331282,-3.134823136
bike_ASC_auto_deficient_eatout,bike,-1.5691106,-1.690744137,-2.682893631,-3.207900576,-3.549183432,-3.796675286
bike_ASC_auto_deficient_escort,bike,-4.527928,-4.649561537,-5.641711031,-6.166717976,-6.508000832,-6.755492686
bike_ASC_auto_deficient_othdiscr,bike,-0.09246834,-0.214101877,-1.206251371,-1.731258316,-2.072541172,-2.320033026
bike_ASC_auto_deficient_othmaint,bike,-1.5184649,-1.640098437,-2.632247931,-3.157254876,-3.498537732,-3.746029586
bike_ASC_auto_deficient_school,bike,-0.5280678,-0.649701337,-1.641850831,-2.166857776,-2.508140632,-2.755632486
bike_ASC_auto_deficient_shopping,bike,-0.87584466,-0.997478197,-1.989627691,-2.514634636,-2.855917492,-3.103409346
bike_ASC_auto_deficient_social,bike,0.6345214,0.512887863,-0.479261631,-1.004268576,-1.345551432,-1.593043286
bike_ASC_auto_deficient_univ,bike,-0.669235,-0.790868537,-1.783018031,-2.308024976,-2.649307832,-2.896799686
bike_ASC_auto_deficient_work,bike,0.25318968,0.131556143,-0.860593351,-1.385600296,-1.726883152,-1.974375006
bike_ASC_auto_deficient_atwork,bike,-0.8074083,-0.929041837,-1.921191331,-2.446198276,-2.787481132,-3.034972986
bike_ASC_auto_sufficient_eatout,bike,-1.2003471,-1.321980637,-2.314130131,-2.839137076,-3.180419932,-3.427911786
bike_ASC_auto_sufficient_escort,bike,-5.0631084,-5.184741937,-6.176891431,-6.701898376,-7.043181232,-7.290673086
bike_ASC_auto_sufficient_othdiscr,bike,-1.0714597,-1.193093237,-2.185242731,-2.710249676,-3.051532532,-3.299024386
bike_ASC_auto_sufficient_othmaint,bike,-2.8083024,-2.929935937,-3.922085431,-4.447092376,-4.788375232,-5.035867086
bike_ASC_auto_sufficient_school,bike,-2.1134686,-2.235102137,-3.227251631,-3.752258576,-4.093541432,-4.341033286
bike_ASC_auto_sufficient_shopping,bike,-2.5662103,-2.687843837,-3.679993331,-4.205000276,-4.546283132,-4.793774986
bike_ASC_auto_sufficient_social,bike,-1.368071,-1.489704537,-2.481854031,-3.006860976,-3.348143832,-3.595635686
