Z,TotPer_P,TotPer_A,HBW_P,HBW_A,HBShp_P,HBShp_A,HBOth_P,HBOth_A,HBSch_PR_P,HBSch_PR_A,HBSch_SC_P,HBSch_SC_A,HH_NHBW_P,NHBW_P,NHBW_A,HH_NHBNW_P,NHBNW_P,NHBNW_A,TotExt_P,TotExt_A,IX_P,IX_A,XI_P,XI_A,SH_Truck_P,SH_Truck_A,LT_P,LT_A,MD_P,MD_A,HV_P,HV_A,LT_Peop_p,LT_Peop_a,MD_Peop_p,MD_Peop_a,LT_Good_p,LT_Good_a,MD_Good_p,MD_Good_a,HV_Good_p,HV_Good_a,LT_Serv_p,LT_Serv_a,MD_Serv_p,MD_Serv_a,HV_Serv_p,HV_Serv_a,IX_MDp,IX_MDa,IX_HVp,IX_HVa,XI_MDp,XI_MDa,XI_HVp,XI_HVa
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,178.3,46.1,24.7,1.6,19.4,0,99,35.4,13.9,0,12.3,0,13.2,2.3,2.3,35.3,6.7,6.7,9,4,9,0,0,4,38.3,38.3,23.4,23.4,11.2,11.2,3.7,3.7,0,0,0,0,23.4,23.4,11.2,11.2,3.7,3.7,0,0,0,0,0,0,0.2,0,0.1,0,0,0.2,0,0.2
3,162.3,49.5,23.8,1.6,18.5,0,88,38.1,11.8,0,10.5,0,12.8,2.5,2.5,33.8,7.2,7.2,8.4,4.3,8.4,0,0,4.3,41.3,41.3,25.2,25.2,12,12,4,4,0,0,0,0,25.2,25.2,12,12,4,4,0,0,0,0,0,0,0.2,0,0.1,0,0,0.3,0,0.2
4,29.4,11,4.8,0,3.6,0,15.3,8.8,1.9,0,1.7,0,2.6,0.5,0.5,6.4,1.7,1.7,1.6,0.9,1.6,0,0,0.9,9.6,9.6,5.9,5.9,2.8,2.8,0.9,0.9,0,0,0,0,5.9,5.9,2.8,2.8,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
5,460.5,204.1,84.7,8,57.1,0,230.6,156,25.5,0,22.6,0,46.1,10.2,10.2,99.6,29.9,29.9,26.3,17.7,26.3,0,0,17.7,168.5,168.5,102.7,102.7,49.1,49.1,16.7,16.7,0,0,0,0,102.7,102.7,49.1,49.1,16.7,16.7,0,0,0,0,0,0,0.8,0,0.5,0,0,1,0,0.7
6,41.2,23.9,6.5,5.8,4.8,0,19.9,12.6,2.4,0,2.1,0,3.5,2.7,2.7,8.4,2.7,2.7,2.1,2.2,2.1,0,0,2.2,19.1,19.1,11.2,11.2,5.7,5.7,2.2,2.2,0,0,0,0,11.2,11.2,5.7,5.7,2.2,2.2,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0,0.1
7,413.6,336.7,68.1,119.4,48.4,6,190.1,142.9,20.4,0,18.1,0,37.3,35,35,84.1,33.5,33.5,21.5,32.1,21.5,0,0,32.1,176.9,176.9,105.4,105.4,52.2,52.2,19.3,19.3,0,0,0,0,105.4,105.4,52.2,52.2,19.3,19.3,0,0,0,0,0,0,0.8,0,0.6,0,0,1.1,0,0.8
8,502.2,353.2,74.2,51,51.8,59.5,220,136.5,26.5,0,23.5,0,40.2,30,30,92.1,76.1,76.1,23.9,32.8,23.9,0,0,32.8,196.4,196.4,115.3,115.3,58.4,58.4,22.7,22.7,0,0,0,0,115.3,115.3,58.4,58.4,22.7,22.7,0,0,0,0,0,0,0.9,0,0.6,0,0,1.2,0,1
9,45.9,134.9,2.5,58.4,1.6,0,5.4,40.7,0.3,0,0.2,0,1.5,24.2,24.2,3.1,11.7,11.7,0.7,13.3,0.7,0,0,13.3,107,107,59.7,59.7,32.6,32.6,14.7,14.7,0,0,0,0,59.7,59.7,32.6,32.6,14.7,14.7,0,0,0,0,0,0,0.5,0,0.4,0,0,0.7,0,0.6
10,199.9,161.8,28,61.6,20.8,0,89.1,58.7,10.9,0,9.7,0,15.2,26.3,26.3,37,15.2,15.2,9.3,15.7,9.3,0,0,15.7,129.2,129.2,73.1,73.1,39.1,39.1,17,17,0,0,0,0,73.1,73.1,39.1,39.1,17,17,0,0,0,0,0,0,0.6,0,0.5,0,0,0.8,0,0.7
11,26.6,11,5,0,3.3,0,13.3,8.8,1.5,0,1.3,0,2.7,0.5,0.5,5.8,1.7,1.7,1.5,0.9,1.5,0,0,0.9,9.6,9.6,5.9,5.9,2.8,2.8,0.9,0.9,0,0,0,0,5.9,5.9,2.8,2.8,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
12,135.9,49.5,22.9,1.6,16.2,0,70.2,38.1,9,0,8,0,12.4,2.5,2.5,29,7.2,7.2,7.5,4.3,7.5,0,0,4.3,41.3,41.3,25.2,25.2,12,12,4,4,0,0,0,0,25.2,25.2,12,12,4,4,0,0,0,0,0,0,0.2,0,0.1,0,0,0.3,0,0.2
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,86.9,331.1,1.7,222.3,1.1,0,4.3,29.8,0.5,0,0.4,0,0.9,63.5,63.5,1.9,15.5,15.5,0.5,34.5,0.5,0,0,34.5,255.8,255.8,136.4,136.4,79.6,79.6,39.8,39.8,0,0,0,0,136.4,136.4,79.6,79.6,39.8,39.8,0,0,0,0,0,0,1.2,0,1.1,0,0,1.7,0,1.7
16,43.4,149.8,1.7,76.9,1.1,0,4.3,37.6,0.5,0,0.4,0,0.9,24.1,24.1,1.9,11.3,11.3,0.5,15,0.5,0,0,15,98.7,98.7,52.8,52.8,30.7,30.7,15.2,15.2,0,0,0,0,52.8,52.8,30.7,30.7,15.2,15.2,0,0,0,0,0,0,0.5,0,0.4,0,0,0.7,0,0.7
17,60.9,15.8,8.4,0.8,6.6,0,33.7,11.9,4.8,0,4.3,0,4.5,0.8,0.8,12,2.2,2.2,3.1,1.4,3.1,0,0,1.4,12.9,12.9,7.9,7.9,3.8,3.8,1.3,1.3,0,0,0,0,7.9,7.9,3.8,3.8,1.3,1.3,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0.1
18,172.1,755.8,0,554.7,0,0,0,29.1,0,0,0,0,0,144.2,144.2,0,27.8,27.8,0,79.9,0,0,0,79.9,693.3,693.3,369.1,369.1,215.9,215.9,108.3,108.3,0,0,0,0,369.1,369.1,215.9,215.9,108.3,108.3,0,0,0,0,0,0,3.3,0,3.1,0,0,4.6,0,4.6
19,1768.9,739.8,283.9,33.9,203,53.6,882.6,470.8,115.3,0,102.5,0,153.4,47.1,47.1,365.2,134.5,134.5,93.2,65.5,93.2,0,0,65.5,534,534,324.3,324.3,156,156,53.7,53.7,0,0,0,0,324.3,324.3,156,156,53.7,53.7,0,0,0,0,0,0,2.4,0,1.5,0,0,3.3,0,2.3
20,1146.2,696.7,215.4,53.7,142.3,41.7,534.1,438.8,48.6,0,43.2,0,117.8,43.6,43.6,247.4,119,119,65,62,65,0,0,62,493.9,493.9,297.7,297.7,144.9,144.9,51.4,51.4,0,0,0,0,297.7,297.7,144.9,144.9,51.4,51.4,0,0,0,0,0,0,2.2,0,1.5,0,0,3.1,0,2.2
21,98.8,477.8,0,367.9,0,0,0,11.1,0,0,0,0,0,84.5,84.5,0,14.3,14.3,0,50.8,0,0,0,50.8,459.5,459.5,244.6,244.6,143.1,143.1,71.8,71.8,0,0,0,0,244.6,244.6,143.1,143.1,71.8,71.8,0,0,0,0,0,0,2.2,0,2.1,0,0,3,0,3.1
22,19.9,17.7,3.2,8.2,2.2,0,9,6,1,0,0.9,0,1.8,2.1,2.1,3.9,1.4,1.4,1,1.7,1,0,0,1.7,16.7,16.7,9.4,9.4,5.1,5.1,2.2,2.2,0,0,0,0,9.4,9.4,5.1,5.1,2.2,2.2,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0,0.1
23,66.8,66.4,7.9,35.7,6,0,29.2,14.8,4.1,0,3.6,0,4.2,11.4,11.4,11.1,4.6,4.6,2.8,6.7,2.8,0,0,6.7,57.1,57.1,31.4,31.4,17.5,17.5,8.2,8.2,0,0,0,0,31.4,31.4,17.5,17.5,8.2,8.2,0,0,0,0,0,0,0.3,0,0.2,0,0,0.4,0,0.3
24,1112.5,343,169.3,10,126.1,0,591.1,265.7,84,0,74.6,0,91,17,17,233.2,50.4,50.4,58.4,29.7,58.4,0,0,29.7,287.5,287.5,175.5,175.5,83.7,83.7,28.2,28.2,0,0,0,0,175.5,175.5,83.7,83.7,28.2,28.2,0,0,0,0,0,0,1.3,0,0.8,0,0,1.8,0,1.2
25,2600.4,2330.5,458.9,173.3,315.2,17.9,1247.5,1198.1,136.1,619.5,121,0,250.4,90,90,548.8,231.8,231.8,143.2,151.2,143.2,0,0,151.2,1098.7,1098.7,657.7,657.7,323.4,323.4,117.6,117.6,0,0,0,0,657.7,657.7,323.4,323.4,117.6,117.6,0,0,0,0,0,0,5,0,3.4,0,0,6.9,0,5
26,1187,2088.9,218.8,209.5,137.9,59.5,469,818.9,30.9,698.1,27.4,0,122.5,88.7,88.7,240.9,214.2,214.2,63.2,125.8,63.2,0,0,125.8,832.5,832.5,490,490,247.2,247.2,95.3,95.3,0,0,0,0,490,490,247.2,247.2,95.3,95.3,0,0,0,0,0,0,3.8,0,2.7,0,0,5.2,0,4.1
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
